Image 1,Image 2,Menu,Winner,Num Voter,Num Vote 1,Num Vote 2
p1_1.jpg,p1_2.jpg,Pizza,1,55.0,43.0,12.0
p2_1.jpg,p2_2.jpg,Pizza,2,55.0,19.0,36.0
p3_1.jpg,p3_2.jpg,Pizza,1,55.0,48.0,7.0
p4_1.jpg,p4_2.jpg,Pizza,2,55.0,17.0,38.0
p5_1.jpg,p5_2.jpg,Pizza,1,55.0,31.0,24.0
p6_1.jpg,p6_2.jpg,Pizza,1,55.0,35.0,20.0
p7_1.jpg,p7_2.jpg,Pizza,1,55.0,45.0,10.0
p8_1.jpg,p8_2.jpg,Pizza,1,55.0,42.0,13.0
p9_1.jpg,p9_2.jpg,Pizza,2,55.0,8.0,47.0
p10_1.jpg,p10_2.jpg,Pizza,1,55.0,36.0,19.0
p11_1.jpg,p11_2.jpg,Pizza,1,55.0,28.0,27.0
p12_1.jpg,p12_2.jpg,Pizza,2,55.0,20.0,35.0
p13_1.jpg,p13_2.jpg,Pizza,1,55.0,28.0,27.0
p14_1.jpg,p14_2.jpg,Pizza,2,55.0,20.0,35.0
p15_1.jpg,p15_2.jpg,Pizza,2,55.0,9.0,46.0
p16_1.jpg,p16_2.jpg,Pizza,2,55.0,24.0,31.0
p17_1.jpg,p17_2.jpg,Pizza,1,55.0,35.0,20.0
p18_1.jpg,p18_2.jpg,Pizza,2,55.0,20.0,35.0
p19_1.jpg,p19_2.jpg,Pizza,1,55.0,36.0,19.0
p20_1.jpg,p20_2.jpg,Pizza,2,55.0,25.0,30.0
p21_1.jpg,p21_2.jpg,Pizza,1,55.0,28.0,27.0
p22_1.jpg,p22_2.jpg,Pizza,2,55.0,10.0,45.0
p23_1.jpg,p23_2.jpg,Pizza,1,55.0,31.0,24.0
p24_1.jpg,p24_2.jpg,Pizza,1,55.0,32.0,23.0
p25_1.jpg,p25_2.jpg,Pizza,2,55.0,27.0,28.0
p26_1.jpg,p26_2.jpg,Pizza,1,55.0,49.0,6.0
p27_1.jpg,p27_2.jpg,Pizza,2,55.0,17.0,38.0
p28_1.jpg,p28_2.jpg,Pizza,2,55.0,13.0,42.0
p29_1.jpg,p29_2.jpg,Pizza,1,55.0,32.0,23.0
p30_1.jpg,p30_2.jpg,Pizza,2,55.0,23.0,32.0
p31_1.jpg,p31_2.jpg,Pizza,1,55.0,33.0,22.0
p32_1.jpg,p32_2.jpg,Pizza,1,55.0,34.0,21.0
